"Jane Citizen",wmb74641@zslsz.com,2023-10-10T04:39:23,2023-10-09T13:41:13,wmb74641@zslsz.com,8,335264.09,41908.01,AU,Melbourne,VIC,3000
"citizen jane",slutbag69@test.com,2023-10-09T00:15:08,2023-10-04T14:14:52,slutbag69@test.com,1,6834.99,6834.99,AU,"North Sydney",NSW,2060
"citizen jane",cj@test.com.au,2023-11-07T01:23:21,2023-10-11T10:39:32,cj@test.com.au,42,4928.89,117.35,AU,"Darling Point",NSW,2027
"citizen jane",cj1@test.com.au,2023-11-17T05:26:42,2023-11-10T11:08:24,cj1@test.com.au,24,2155.77,89.82,AU,Redfern,NSW,2016
"jane citizen",sgy26358@nezid.com,2023-11-13T04:39:02,2023-11-13T15:05:41,sgy26358@nezid.com,2,1101.16,550.58,AU,Sydney,NSW,2000
"Jane Citizen",abl56380@nezid.com,2023-11-21T04:16:28,2023-11-13T14:43:19,abl56380@nezid.com,2,998.18,499.09,AU,Southbank,VIC,3006
"Jane Citizen",wwu50938@omeie.com,2023-10-09T04:47:00,2023-10-09T14:21:26,wwu50938@omeie.com,21,928.99,44.24,AU,Sydney,NSW,2000
"Jane Citizen",lri71643@omeie.com,2023-11-03T01:13:34,2023-11-03T11:49:34,lri71643@omeie.com,2,925.02,462.51,AU,Docklands,VIC,3008
"Jane Citizen",njf88786@zbock.com,2023-11-20T02:38:03,2023-11-10T12:14:06,njf88786@zbock.com,3,901.19,300.40,AU,Melbourne,VIC,3000
"Jane Citizen",kix21650@zslsz.com,2023-11-02T04:14:24,2023-11-02T14:05:18,kix21650@zslsz.com,2,901.00,450.50,AU,Sydney,NSW,2000
"Jane Citizen",uxb86491@zslsz.com,2023-10-31T03:01:16,2023-10-11T15:22:02,uxb86491@zslsz.com,11,794.98,72.27,AU,Sydney,NSW,2000
"Jane Citizen",kvg26663@zbock.com,2023-11-20T01:18:16,2023-11-09T15:19:51,kvg26663@zbock.com,3,579.95,193.32,AU,Mariginiup,WA,6078
"Jane Citizen",eci61509@nezid.com,2023-11-09T03:18:25,2023-11-09T13:38:12,eci61509@nezid.com,1,475.45,475.45,AU,Helensvale,QLD,4212
"Jane Citizen",bcg17302@zslsz.com,2023-11-09T04:13:05,2023-11-09T14:24:25,bcg17302@zslsz.com,1,418.99,418.99,AU,Brunswick,VIC,3056
"Jane Citizen",wwf53932@omeie.com,2023-10-10T05:41:14,2023-10-10T15:48:02,wwf53932@omeie.com,9,415.90,46.21,AU,Sydney,NSW,2000
"Jane Citizen",eas47353@zslsz.com,2023-11-13T03:31:00,2023-11-13T14:20:49,eas47353@zslsz.com,1,381.98,381.98,AU,Sydney,NSW,2000
